anio,temp_media,temp_min,temp_max,precipitacion
2014,19.501643835616438,15.265479452054793,23.737534246575343,0.00.40.00.30.00.00.00.00.00.00.0Ip0.80.01.30.10.00.80.00.02.20.10.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.06.50.00.00.00.00.00.05.00.00.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.317.54.60.00.00.00.00.00.00.01.30.00.1IpIp0.00.00.00.00.90.00.06.80.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.60.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip0.20.00.00.00.00.00.00.00.0Ip0.00.00.03.50.00.07.00.00.30.00.00.00.00.00.20.00.00.00.00.00.00.00.00.00.00.0Ip0.0Ip0.00.00.05.912.30.00.00.00.00.00.00.00.832.30.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.20.00.00.30.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.04.10.00.00.00.00.00.00.00.00.00.00.00.00.00.025.50.03.2Ip0.80.20.220.80.00.00.00.00.00.00.00.00.00.00.00.34.20.10.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.05.60.00.00.00.00.10.50.08.90.00.00.90.00.00.00.00.00.00.00.00.10.00.00.00.011.04.340.00.00.00.00.00.00.00.00.00.00.00.00.00.143.41.90.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.0
2015,19.209041095890413,14.808219178082192,23.610958904109587,0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.04.33.70.00.00.00.00.00.00.00.00.00.01.80.00.00.00.20.00.00.00.00.0Ip0.00.02.20.00.00.01.40.50.00.40.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip0.82.90.00.57.70.113.521.126.522.86.1Ip0.00.00.00.00.00.00.00.00.00.02.60.00.0Ip0.00.00.60.00.00.00.30.00.00.00.00.00.10.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.015.40.00.00.00.00.00.00.00.00.00.01.00.00.00.00.00.00.00.00.00.00.00.00.70.031.20.022.3Ip0.00.00.00.00.00.20.80.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.20.00.00.07.30.00.00.5Ip0.00.00.01.32.00.00.00.00.00.00.01.111.60.00.00.60.00.00.00.00.10.00.00.00.00.00.00.00.00.00.00.00.00.00.03.90.00.31.10.54.30.322.0Ip0.00.00.00.90.00.00.00.00.00.00.00.00.00.00.00.00.00.037.00.019.60.00.10.00.00.00.00.00.09.00.00.00.03.619.40.00.00.00.20.01.44.60.00.00.00.07.2Ip2.20.00.00.80.517.047.60.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.10.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0
2016,19.08497267759563,15.053825136612021,23.114754098360656,0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.60.50.00.00.00.00.00.00.00.00.00.00.00.00.10.00.00.00.00.00.00.01.30.00.00.00.00.00.00.00.60.00.00.0Ip0.00.0Ip0.00.00.00.00.90.00.00.00.00.00.00.00.00.02.80.00.20.00.00.00.00.00.00.00.00.82.20.00.4Ip0.00.00.00.00.00.00.00.00.00.00.01.311.63.00.01.50.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.30.00.00.00.00.01.00.00.00.30.00.00.00.00.314.26.71.64.00.00.00.00.00.00.00.80.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.01.20.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0IpIp0.70.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip0.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.01.00.00.00.00.227.70.00.00.00.01.30.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.032.80.00.00.00.00.00.00.00.00.015.70.02.70.00.80.30.00.00.00.00.00.00.00.00.00.00.00.00.03.7Ip0.00.00.08.10.90.00.316.20.20.03.60.10.00.20.00.00.00.00.00.00.00.00.00.50.00.00.00.00.00.00.00.00.00.00.00.00.03.15.013.01.80.00.014.1130.05.228.60.30.00.06.68.614.50.00.60.00.00.00.00.00.00.00.346.213.174.04.10.20.00.10.00.00.00.00.00.00.00.00.0
2017,18.79013698630137,14.167945205479452,23.413150684931505,0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip0.376.666.51.30.40.20.00.01.36.60.10.00.00.00.01.80.00.01.20.00.00.00.00.1Ip0.03.20.00.00.00.00.00.00.00.0Ip3.42.80.00.00.00.00.00.02.70.00.00.00.00.00.00.00.039.78.40.00.00.00.00.00.00.00.00.00.00.00.01.20.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.01.9Ip0.00.00.00.00.00.02.915.52.70.00.00.00.00.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.010.30.00.0Ip0.00.00.00.00.00.00.00.01.50.00.00.21.314.30.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.05.00.00.00.00.00.00.10.00.00.00.00.00.50.00.00.00.00.00.00.00.00.00.00.00.00.00.60.70.00.00.00.00.00.00.00.00.00.50.50.00.01.10.00.00.01.50.00.00.00.00.00.00.00.00.00.00.20.00.00.00.00.00.00.05.316.50.10.74.20.00.00.00.00.00.00.00.30.00.00.00.00.01.50.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.02.90.00.00.00.00.00.00.00.00.00.013.40.60.00.00.00.00.00.00.00.00.00.00.00.10.00.00.0Ip0.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.03.04.40.00.00.00.00.00.00.00.00.00.00.00.00.60.00.00.00.00.01.31.40.00.00.00.00.00.00.10.10.00.00.00.0
2018,19.03945205479452,14.804109589041095,23.278630136986305,0.00.00.00.00.00.00.00.00.00.00.00.01.20.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.80.02.07.90.11.00.01.00.00.00.00.00.80.00.00.00.00.0Ip0.00.00.00.0Ip0.00.00.00.02.62.60.013.00.00.00.118.24.05.00.00.00.043.80.043.02.30.00.00.00.00.00.05.38.00.00.00.00.00.00.00.00.00.00.00.00.31.10.00.10.00.05.80.00.00.0136.012.72.20.10.00.00.00.01.720.10.00.09.60.00.50.20.00.00.20.00.04.00.00.10.00.01.62.622.2115.315.514.57.03.90.01.12.40.01.30.00.00.00.00.00.10.00.00.00.00.00.00.00.00.00.01.49.70.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.05.50.40.00.50.00.00.00.10.00.00.00.00.00.00.00.00.00.00.01.21.56.410.90.00.00.09.50.01.47.86.08.60.00.00.00.00.01.30.0Ip0.0Ip2.40.00.10.00.00.00.00.00.00.022.40.04.60.00.02.80.00.00.30.00.06.40.00.00.40.00.00.00.10.04.50.00.00.00.0IpIp0.00.00.00.00.00.00.00.00.00.00.0Ip6.70.00.04.30.00.60.00.0Ip0.00.00.00.00.00.00.00.00.00.00.05.40.50.00.00.00.00.0Ip0.00.00.01.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip0.00.00.00.08.11.40.10.10.00.092.80.20.00.010.20.00.00.80.00.00.01.20.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0
2019,19.055616438356164,14.554246575342466,23.55369863013699,0.00.00.00.00.00.02.63.90.00.00.00.00.30.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.30.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.03.81.20.00.00.00.04.30.90.00.00.00.08.40.00.00.00.031.50.00.00.08.029.318.518.10.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.50.00.00.00.02.01.512.510.50.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.90.00.00.00.30.00.01.10.01.40.10.00.00.00.00.00.00.00.023.119.429.315.20.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip0.70.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.30.00.00.00.00.00.00.00.00.00.00.00.03.80.00.00.00.00.00.00.00.00.00.01.515.00.31.30.30.05.61.10.00.00.21.20.00.00.00.00.00.00.033.811.12.72.53.60.90.0Ip0.00.00.00.00.03.2Ip2.60.00.00.00.00.00.00.00.00.00.00.00.00.00.01.40.50.25.60.10.88.30.10.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0
2020,19.03032786885246,14.630601092896175,23.432240437158473,0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.02.438.253.535.39.9Ip0.00.00.00.00.00.00.00.00.00.00.00.00.20.10.00.00.00.00.00.00.00.00.00.00.01.20.10.00.00.00.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.01.013.05.30.00.00.56.44.02.00.80.50.53.20.00.06.69.60.21.00.00.00.00.0Ip0.00.0Ip0.00.23.52.216.80.0Ip3.25.20.017.4Ip0.00.00.00.20.00.00.00.00.00.00.00.00.00.00.00.06.30.60.02.06.28.20.50.20.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.02.20.00.07.628.30.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip0.00.04.21.44.00.00.00.00.00.00.00.01.00.00.00.00.00.00.00.00.00.00.00.01.50.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.02.90.00.00.00.00.00.00.00.013.50.00.00.00.00.00.00.1IpIp1.04.30.00.00.00.0Ip0.00.00.00.00.00.00.00.02.70.00.00.00.00.00.00.0Ip0.00.00.01.20.00.00.00.00.00.0Ip2.20.00.00.00.00.00.00.00.00.00.00.04.264.592.812.00.60.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.20.871.53.50.00.00.00.00.0Ip0.00.02.00.00.01.20.00.00.00.00.00.00.00.00.20.00.00.00.00.60.00.00.00.20.00.00.2
2021,18.681917808219175,14.514794520547945,22.848219178082193,1.80.00.00.00.02.06.622.01.60.00.00.00.00.00.00.00.00.00.00.0Ip0.20.00.00.00.00.00.00.00.20.00.00.00.00.00.00.00.0Ip0.00.00.00.00.011.30.00.00.00.00.00.08.0Ip0.00.00.00.00.00.0IpIp0.00.00.01.813.60.8Ip0.00.00.00.00.00.00.00.022.40.80.50.00.00.00.00.00.00.00.00.00.00.00.00.00.00.20.00.02.00.22.20.40.20.00.00.30.84.00.00.00.01.012.68.60.02.324.80.24.60.40.00.60.0Ip0.20.00.00.00.00.09.5Ip0.00.00.00.00.00.00.00.00.00.00.00.016.00.00.00.0Ip0.40.00.00.03.20.00.00.02.80.00.02.00.00.00.00.00.0Ip0.01.21.00.25.00.00.05.00.00.00.00.00.00.00.00.00.00.00.00.00.00.01.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.08.61.60.00.00.00.00.00.00.00.00.00.00.00.03.6IpIp0.00.00.00.2Ip0.00.20.00.20.00.00.00.828.20.00.00.00.00.017.00.841.40.00.00.00.00.00.00.00.00.00.40.0Ip0.00.49.00.00.00.06.06.42.8Ip0.23.50.00.00.00.00.00.00.08.20.00.00.00.00.0Ip0.00.00.00.00.00.00.00.50.00.00.04.08.40.00.00.00.0Ip0.01.21.71.00.40.20.00.00.00.00.00.00.70.01.02.00.00.00.00.00.02.421.84.40.247.90.62.40.00.0Ip0.00.00.00.50.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.0Ip0.00.00.00.00.0Ip0.0Ip0.00.00.00.00.0
2022,19.591506849315067,15.298356164383561,23.883561643835616,0.00.00.00.00.00.00.00.00.01.20.00.70.20.00.00.00.00.00.00.00.00.01.47.21.20.00.00.00.00.00.00.00.00.0IpIp0.00.00.00.00.00.00.00.80.00.00.00.00.00.20.00.00.00.02.82.00.1Ip0.00.00.026.70.0Ip11.88.90.00.00.02.0Ip2.2Ip0.023.812.90.85.06.947.71.423.75.23.60.00.00.00.012.7Ip0.00.02.2Ip3.70.00.00.00.00.00.04.814.60.00.00.00.02.53.940.70.01.00.00.00.00.08.60.50.00.20.059.8172.41.70.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.04.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.02.20.00.00.00.00.21.00.00.00.00.00.00.00.03.5Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.70.00.00.05.60.00.00.00.00.00.00.37.22.60.00.00.03.00.00.00.00.00.00.00.00.00.00.00.00.00.21.80.00.00.02.512.40.00.00.00.20.0Ip13.10.00.00.0Ip0.00.00.00.00.00.07.20.03.10.014.2Ip0.00.00.04.50.00.00.30.2IpIpIp0.00.00.00.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.413.034.50.30.00.00.00.00.0Ip0.00.00.20.00.00.00.00.0Ip0.00.00.02.10.00.0Ip0.00.00.00.90.51.74.70.02.60.20.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip0.0
2023,19.58,15.022191780821919,24.135342465753425,0.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.60.00.00.00.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.03.52.330.20.00.00.00.00.00.00.00.00.00.00.00.00.20.00.00.00.00.0Ip0.00.00.00.00.01.20.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip0.00.00.00.00.0IpIp0.00.00.00.00.00.00.60.00.0Ip0.2Ip0.3Ip0.50.00.00.54.40.00.00.0Ip14.20.22.20.20.57.00.00.00.00.0Ip0.00.00.00.00.20.20.00.03.40.011.50.00.00.01.20.20.00.07.80.00.00.00.50.00.00.00.00.00.0Ip36.50.00.00.0Ip0.00.00.00.20.00.00.00.00.00.00.00.00.20.0Ip0.00.00.00.00.00.00.00.00.00.00.00.20.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.020.40.00.00.00.00.00.073.50.50.00.00.00.00.00.00.00.018.40.07.221.00.47.40.021.40.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0IpIp0.00.00.0Ip0.00.00.62.40.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.20.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.50.00.80.01.90.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0
2024,19.873224043715847,15.6827868852459,24.067759562841527,20.50.00.00.00.00.20.20.00.00.00.00.20.20.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.80.00.00.00.00.00.00.00.00.00.00.20.00.00.00.0Ip0.0IpIp15.217.51.40.00.60.00.00.00.0Ip0.00.00.00.021.58.76.512.313.60.20.00.00.00.00.00.00.00.00.00.00.00.00.00.02.80.00.00.00.20.00.00.412.60.20.20.0Ip0.00.015.22.80.015.2Ip23.06.61.30.00.30.00.018.90.00.00.0Ip0.00.00.00.00.08.20.20.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.03.02.20.00.00.00.00.04.30.20.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip0.00.00.014.00.00.00.00.60.00.00.00.0Ip0.20.00.00.00.00.0Ip0.00.09.10.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.03.42.00.00.00.00.00.00.81.20.00.00.00.00.0Ip0.00.00.00.80.00.00.00.00.20.00.00.00.01.5Ip3.41.00.00.00.00.00.00.00.00.00.00.00.00.00.04.88.60.00.00.01.50.82.20.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.01.20.00.00.00.00.00.00.20.00.07.39.3IpIp0.00.00.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.53.00.00.00.0Ip0.00.00.03.4Ip5.04.413.80.00.00.00.00.00.00.00.00.00.03.80.10.00.00.0Ip0.020.5
